text,clean_text,lang,sentiment
Greenland is currently European but Europe is irrelevant. Instead of a Europe First agenda they just wait out the Trump presidency hoping they will be relevant again afterwards. Those idiots. Just rotten manure where giants like de Gaulle Schmidt and Kohl once walked.,greenland currently european europe irrelevant instead europe first agenda wait trump presidency hoping relevant afterwards idiots rotten manure giants like de gaulle schmidt kohl walked,en,positive
@EdwardJDavey Stop being silly. President Trump is not going to attack Greenland. Just leave politics to the grown-ups.,stop silly president trump going attack greenland leave politics grown ups,en,negative
@FeserEdward @formerlyed @yuanyi_z I have read three of your books obviously value your intellect. That being said do you really think Trump is serious about militarily invading Greenland and killing members of the Sirius Patrol the Danish armed military contingent numbering a few dozen men?. This seems to be an,read three books obviously value intellect said really think trump serious militarily invading greenland killing members sirius patrol danish armed military contingent numbering dozen men seems,en,negative
@MikeBales Denmark said NO Greenlanders said NO.. So why don't you just stop it. Greenland is part of NATO... and USA can put as much military strength there as it pleases... Just explain us please: Why didn't the US care and withdraw almost completely.. and Trump didn't change it.,denmark said greenlanders said stop greenland part nato usa put much military strength pleases explain us please us care withdraw almost completely trump change,en,positive
@ChrisRo93870934 @War_Radar2 According to The Telegraph and other reports (e.g. Daily Mail Evening Standard) the talks aim to deploy European forces to Greenland to address Arctic security concerns potentially easing U.S. fears under Trump while dissuading any unilateral American seizure. It's framed as,according telegraph reports e g daily mail evening standard talks aim deploy european forces greenland address arctic security concerns potentially easing u fears trump dissuading unilateral american seizure framed,en,positive
As an American I demand @realDonaldTrump stop threatening our allies in my name. I demand the @gop stop being so blood thirsty and war hungry! And I demand @marcorubio apologize to #Denmark over Trump's Greenland threats! Shame on the @GOP,american demand stop threatening allies name demand stop blood thirsty war hungry demand apologize trump greenland threats shame,en,negative
@BiankaB12 It s important to listen Greenlanders about Greenland and Trump s insane saber-rattling.,important listen greenlanders greenland trump insane saber rattling,en,negative
@thuerkoff31850 @k9kym @indyfor45th47th That is why Greenland is not mining. Do you really think Trump won't mine it into total destruction?,greenland mining really think trump mine total destruction,en,negative
@MarioNawfal Under what authority are these countries acting? Greenland isn't part of NATO and as far as I know Greenland hasn't asked for troops. Trump is perfectly entitled to talk to Greenland (it's up to the Greenlanders) has nothing to do with anyone else.,authority countries acting greenland part nato far know greenland asked troops trump perfectly entitled talk greenland greenlanders nothing anyone else,en,positive
My take: In order for Trump to dismantle NATO there needs to be a real military confrontation between two NATO members (in this case Denmark and the US). The Danes put their soldiers on the ready. Trump lands one US soldier on Greenland soil as an invasion. Denmark invokes,take order trump dismantle nato needs real military confrontation two nato members case denmark us danes put soldiers ready trump lands one us soldier greenland soil invasion denmark invokes,en,positive
@_mrg_1 @tedlieu @thejointstaff Denmark and Canada are indeed close US allies with deep cooperation including Thule Air Base in Greenland and the USMCA trade deal (renegotiated under Trump in 2018-2020). Trump's rhetoric economic pressures on Canada and potential Greenland acquisition aims at strategic gains,denmark canada indeed close us allies deep cooperation including thule air base greenland usmca trade deal renegotiated trump trump rhetoric economic pressures canada potential greenland acquisition aims strategic gains,en,positive
@Bannons_WarRoom GREENLAND. Former Trump Ambassador to Denmark Paula Sands(?) just threw a BBC News anchor to the ground regarding Denmark s claims on Greenland including inability to provide security to Greenlanders. (12:55 ET Sunday BBC News). Get Paula on your show.,greenland former trump ambassador denmark paula sands threw bbc news anchor ground regarding denmark claims greenland including inability provide security greenlanders et sunday bbc news get paula show,en,negative
@CNNnewsroom WHEN TRUMP TALKS ABOUT TAKING OVER GREENLAND TO PROTECT AGAINST RUSSIA OR CHINA WHY DON'T YOUR REPORTERS ASK HIM OR HIS ADVISORS ISN'T THAT WHY THE UNITED STATES HAS A MILITARY BASE IN GREENLAND. WHY NOT EXPAND THAT BASE TO PROVIDE SECURITY AGAINST RUSSIAN CHINA.,trump talks taking greenland protect russia china reporters ask advisors united states military base greenland expand base provide security russian china,en,positive
@MumbaichaDon Oh hell that breaks my heart now all the EU people can only use Tik-Tok and Trump doesn't want Greenland he is just pulling your chain.,oh hell breaks heart eu people use tik tok trump want greenland pulling chain,en,negative
If nothing else Trump's Greenland threats have resulted in fascinating confirmation of why free market economies require principled regulation. There's something about having money that makes people incapable of even contemplating having values beyond dollars.,nothing else trump greenland threats resulted fascinating confirmation free market economies require principled regulation something money makes people incapable even contemplating values beyond dollars,en,positive
@VMickCRO @MikeBales You're kidding right? Russia and China have both built military installations off the coast of Greenland. The Trump Administration is bang on to protect the Western Hemisphere.,kidding right russia china built military installations coast greenland trump administration bang protect western hemisphere,en,positive
@zarahussain999 Zara thats Bullshit!! Trump has only mentioned Greenland becoming apart of the USA because Russia and China are looking to take over Greenland and that can not be allowed to happen..,zara thats bullshit trump mentioned greenland becoming apart usa russia china looking take greenland allowed happen,en,negative
The path to Caracas and potentially next to Colombia Cuba and Greenland other targets of Donald Trump s colonial greed was paved in Gaza Jonathan Cook @Jonathan_K_Cook From Gaza to Venezuela the US has been unmasked as the serial villain https://t.co/FhjKpGQB8V https://t.co/A0YnLQaRNl,path caracas potentially next colombia cuba greenland targets donald trump colonial greed paved gaza jonathan cook gaza venezuela us unmasked serial villain,en,negative
@grok @tedlieu @thejointstaff How about nonsensical since both countries were friendly 100% collaborators. USA has a base soldier on Greenland. We had trade deals negotiated by trump. Since any action causes an equal and opposite reaction how is that beneficial to the USA - if at all?,nonsensical since countries friendly collaborators usa base soldier greenland trade deals negotiated trump since action causes equal opposite reaction beneficial usa,en,positive
@slop_bucket @ZaidJilani One demented idea I think trump has is to physically take Greenland then forcibly deport all the inhabitants back to Denmark or wherever. It would fit an insane idea I m sure miller told him so the USA doesn t have to spend any money.,one demented idea think trump physically take greenland forcibly deport inhabitants back denmark wherever would fit insane idea sure miller told usa spend money,en,positive
ALASKA SECRETS: Trump &amp; Putin private talks in 2025 summit no transcript no deal on Ukraine. Trump aligns with Putin demands abandons Europe/NATO. Greenland invasion plans next? Hypocrite 'peacemaker' hides conversations. Truth leaks. #TrumpPutinAlaska https://t.co/zwVDbXRz6i,alaska secrets trump amp putin private talks summit transcript deal ukraine trump aligns putin demands abandons europe nato greenland invasion plans next hypocrite peacemaker hides conversations truth leaks,en,positive
@FirFotia @Cryptoking @IndiaTales7 the rhetoric is not helpful. i don't understand why trump says what he says. but the logic behind the usa operating in greenland and everyone paying their fair share for that to happen makes sense. i hear alot of talk about increasing defense spending we'll see if it happens,rhetoric helpful understand trump says says logic behind usa operating greenland everyone paying fair share happen makes sense hear alot talk increasing defense spending see happens,en,positive
I d like to know what the difference is between Trump attempting to take Greenland and Putin trying to take Ukraine. And he still wants a Peace Prize. Both these are sovereign countries.,like know difference trump attempting take greenland putin trying take ukraine still wants peace prize sovereign countries,en,positive
@JimFergusonUK Trump did start this fight as you well know. USA has about 17 military bases on Greenland which it closed down. But could re-activate if it asks respectfully. Greenland is part of Denmark which is a NATO ally. Why is Trump treating with 100% disrespect ? 1/2,trump start fight well know usa military bases greenland closed could activate asks respectfully greenland part denmark nato ally trump treating disrespect,en,negative
@DrJStrategy Nope TDS The gave Putin an open invitation to invade Ukraine but won t let Trump buy Greenland! He could threaten to leave NATO unless they give us a land mass on our continent just saying! Canada still on the list ,nope tds gave putin open invitation invade ukraine let trump buy greenland could threaten leave nato unless give us land mass continent saying canada still list,en,negative
A group of European countries led by the UK and Germany is discussing plans for a military presence in Greenland to show US President Donald Trump that the continent is serious about Arctic security and to try to tamp down American threats to take over the self-ruling Danish https://t.co/CoUzt9wUs6,group european countries led uk germany discussing plans military presence greenland show us president donald trump continent serious arctic security try tamp american threats take self ruling danish,en,negative
@RLHeinrichs Now Trump intends to destroy NATO by waging war against our ally Denmark rather than use the current treaty with Denmark that allows us to expand the existing US base in Greenland to meet threats from China and Russia. That is insane.,trump intends destroy nato waging war ally denmark rather use current treaty denmark allows us expand existing us base greenland meet threats china russia insane,en,negative
@Alonso_GD I've been posting all week the hashtag #boycotttheworldcup and #boycottfifa2026. This needs to be real if he goes near Greenland. Trump will shit himself EVEN more when he sees that be cancelled with by a boycott. @FIFAWorldCup,posting week hashtag needs real goes near greenland trump shit even sees cancelled boycott,en,negative
#trump Putin's friend. #usa #maga #Groenland #Greenland,putin friend,en,positive
@KeshavPandey495 @MumbaichaDon Recent reports from Politico TASS and Reuters confirm the EU is developing plans for sanctions on US tech firms (Google X Microsoft) and banks if the US doesn't retract Greenland claims. Options include trade restrictions and base expulsions. Trump's team cites security,recent reports politico tass reuters confirm eu developing plans sanctions us tech firms google x microsoft banks us retract greenland claims options include trade restrictions base expulsions trump team cites security,en,positive
@NickJFreitas When Trump actually attacks he doesnt say anything before hand when its a neogiating tactic he talks about it all the time. So we already know hes not attacking greenland though Im not sure why were in NATO as you pointed out we are all the force nato has.,trump actually attacks doesnt say anything hand neogiating tactic talks time already know hes attacking greenland though im sure nato pointed force nato,en,negative
@EdKrassen The EU better wake the fuck up Trump isn't playing. We buy Greenland one way or another,eu better wake fuck trump playing buy greenland one way another,en,positive
@Currentreport1 Think about how smart Trump is he has gotten NATO to defend Greenland,think smart trump gotten nato defend greenland,en,positive
@ArmyofLawyers_1 No one is stealing anything. Pull your head out. Trump is a deal maker. Everyone will win here even Mette. Greenland USA!!!,one stealing anything pull head trump deal maker everyone win even mette greenland usa,en,positive
The #Trump vanity project in #Greenland is clear mineral rights to the highest 🇺🇸 bidder with RFK jr and Lee Zeldin in charge of environmental protection Any other pretext is just a cover story https://t.co/6BJ69LbNCw,vanity project clear mineral rights highest bidder rfk jr lee zeldin charge environmental protection pretext cover story,en,positive
Trump says he wants to buy Greenland. Denmark s prime minister and parliament respond with uncontrollable laughter. https://t.co/DojYvjgF7y,trump says wants buy greenland denmark prime minister parliament respond uncontrollable laughter,en,positive
@thejointstaff Now they say Donald Trump emboldened by success of Maduro capture operation 'orders army chiefs to draw up plan to invade Greenland' But he is being resisted by senior military figures who think 'Trump's Greenland plan is crazy and illegal'. We hope they remain steadfast !!,say donald trump emboldened success maduro capture operation orders army chiefs draw plan invade greenland resisted senior military figures think trump greenland plan crazy illegal hope remain steadfast,en,positive
@AlexTaylorNews @SecKennedy Trump - we need Greenland because we don t want Russia as a neighbour Rest of world - Greenland is about 3000 miles from the USA Russia is 55 miles from mainland Alaska. ,trump need greenland want russia neighbour rest world greenland miles usa russia miles mainland alaska,en,positive
Trump sets his sights on Cuba as he threatens country to make a deal 'before it is too late' https://t.co/3LoHyVCf4F via https://t.co/Ix009EibwE #Cuba #Venezuela #Trump #Canada #Greenland,trump sets sights cuba threatens country make deal late via,en,negative
Germany planning Arctic Sentry Nato mission to protect Greenland https://t.co/yTa5dvBDSb,germany planning arctic sentry nato mission protect greenland,en,positive
@RasmusJarlov Hopefully Trumps stragegy. Short sharp and focused on the financial angle. Trump s Art of the Deal for Greenland is simple: He wants the military base but he refuses to sign the check. He s threatening to seize Greenland just to scare Denmark into acting as his personal,hopefully trumps stragegy short sharp focused financial angle trump art deal greenland simple wants military base refuses sign check threatening seize greenland scare denmark acting personal,en,negative
BREAKING: Canada/EU/UK Prepare For War As Trump s Orders Greenland Invasion Plan https://t.co/2ezfgt1msF,breaking canada eu uk prepare war trump orders greenland invasion plan,en,negative
@Atlantislq Maybe Trump will buy a small part of greenland and will make it as a part of US XD,maybe trump buy small part greenland make part us xd,en,positive
Is this a car crash from #Badenoch or what? UK could send British troops to Greenland as part of a NATO mission to help guard the Arctic for Trump #Badenoch that is not my job &amp; what I'm not going to do is &amp; we're not talking about that &amp; lets just stop this here ,car crash uk could send british troops greenland part nato mission help guard arctic trump job amp going amp talking amp lets stop,en,negative
@FinanceLancelot Trump framing Cuba as the next deal after Panama and Greenland. Classic protection racket language: drop the old thugs get our protection instead.,trump framing cuba next deal panama greenland classic protection racket language drop old thugs get protection instead,en,negative
@_MAGA_NEWS_ OK go for it as it achieves the goal Trump is making to keep the Chinese out of Greenland. However do they have the money to keep a force in Greenland. The US has the strongest economy in the world and could put Europe in a economic depression....,ok go achieves goal trump making keep chinese greenland however money keep force greenland us strongest economy world could put europe economic depression,en,positive
@EricLDaugh Nick Shirley? Yeah that sounds like hard hitting journalism. Did he bribe people with free lunches to sound pro-American like Dim Jnr when visited Greenland? https://t.co/T3Q654NQEE,nick shirley yeah sounds like hard hitting journalism bribe people free lunches sound pro american like dim jnr visited greenland,en,positive
If Trump actually cared about Greenland due to Russia/China concerns we have an opportunity *right now* to neutralize Russia as a global threat and neuter China's key ally. Fully support Ukraine with everything it needs to beat Russia. The costs are dramatically cheaper AND,trump actually cared greenland due russia china concerns opportunity right neutralize russia global threat neuter china key ally fully support ukraine everything needs beat russia costs dramatically cheaper,en,positive
@WhiteHouse If Cuba falls Trump should not only receive the Nobel Peace Prize he should also be beatified have his face placed on the Statue of Liberty and Greenland should be renamed Trumpland...,cuba falls trump receive nobel peace prize also beatified face placed statue liberty greenland renamed trumpland,en,positive
@MF_Joshhh @OJoelsen You have a problem. 1) you trust Trump mr Pinocchio The base/s in Greenland is to PROTECT USA!! You already have it!! 2) Europe actually bought USA debt and we could collect ,problem trust trump mr pinocchio base greenland protect usa already europe actually bought usa debt could collect,en,positive
@NielsKampmann This I knew. Trump is claiming there are Chinese ships all over Greenland. The first thing he should do is reopen as many of the other bases as necessary to assert tactical presence. He may also argue that Denmark is allowing the Chinese to be there thus the desire to formally,knew trump claiming chinese ships greenland first thing reopen many bases necessary assert tactical presence may also argue denmark allowing chinese thus desire formally,en,positive
@ArmyofLawyers_1 @andydubois44 You're a negative-thinking warmonger. Trump will not invade and there will be no shots fired. You lake the imagination to see the possibilities: a beautiful deal will be made where everyone wins. Annexation is a happy inevitability. Greenland USA!,negative thinking warmonger trump invade shots fired lake imagination see possibilities beautiful deal made everyone wins annexation happy inevitability greenland usa,en,positive
@FaceTheNation The easy way would be Denmark agrees to rename Greenland to Trumpland and President Don Vanity Trump will leave it be. Once Trump is out of office Denmark can revert to Greenland! This is what is going to happen to a number of vanity rechristenings in the DC area!,easy way would denmark agrees rename greenland trumpland president vanity trump leave trump office denmark revert greenland going happen number vanity rechristenings dc area,en,positive
@Vimal8584 @JimFergusonUK Based on recent reports from Reuters BBC Daily Mail Bloomberg and others Trump has directed advisors to explore acquiring Greenland including military options like invasion plans citing Arctic security. However U.S. military leaders oppose it as illegal without Congress.,based recent reports reuters bbc daily mail bloomberg others trump directed advisors explore acquiring greenland including military options like invasion plans citing arctic security however u military leaders oppose illegal without congress,en,positive
#BREAKING European leaders including from the UK and Germany are discussing increased NATO presence in Greenland to counter potential U.S. actions following renewed threats from Trump to acquire the territory.,european leaders including uk germany discussing increased nato presence greenland counter potential u actions following renewed threats trump acquire territory,en,negative
Trump's Greenland Western Hemisphere ambitions sound like imperialism former ambassador says https://t.co/0pqbd1holW,trump greenland western hemisphere ambitions sound like imperialism former ambassador says,en,positive
@TheTNHoller Did Putin order Trump to threaten Greenland? All too likely.,putin order trump threaten greenland likely,en,negative
@glenn_tunes in fact trump and his team have been working on a deal with Greenland (who again already overwhelmingly support separation from Denmark) this deal would see the USA purchase Greenland and they would become US citizens &amp; every single citizen would recieve $100 000 from the sale,fact trump team working deal greenland already overwhelmingly support separation denmark deal would see usa purchase greenland would become us citizens amp every single citizen would recieve sale,en,positive
@LexLexandro @_MAGA_NEWS_ Based on checks from AP BBC Euronews and other sources Denmark and EU allies have rejected Trump's Greenland annexation threats diplomatically but there's no confirmation of Denmark urging EU troop deployments or talks involving Britain Germany and France for joint forces.,based checks ap bbc euronews sources denmark eu allies rejected trump greenland annexation threats diplomatically confirmation denmark urging eu troop deployments talks involving britain germany france joint forces,en,negative
@WarMonitor3 It doesn't have to be. By agreement the US already has unresticted access to Greenland for military/defense uses. It's decreased its' historical presence by 90+%. The question is why does Trump want to annex it when there is technically not need?,agreement us already unresticted access greenland military defense uses decreased historical presence question trump want annex technically need,en,positive
Diplomats: Trump's claim about Russian and Chinese activity in Greenland is not true: https://t.co/wjZ06bIHnZ,diplomats trump claim russian chinese activity greenland true,en,positive
@Bubblebathgirl @atrupar Dude you literally have absolutely no clue about any of this stuff do you ? It's ok to admit you just do nothing except watch fox and listen to trump ? What's our treaty with Greenland off the top of your head with out googling it ?,dude literally absolutely clue stuff ok admit nothing except watch fox listen trump treaty greenland top head googling,en,positive
@0xSanzu_ @NFTGUYY @cryptorover Recent reports from Politico (Jan 8 2026) and Firstpost (Jan 11 2026) indicate UK and German officials have discussed potential military deployments to Greenland as a deterrent amid US threats under Trump. The Guardian notes joint NATO emphasis on Arctic security. These are,recent reports politico jan firstpost jan indicate uk german officials discussed potential military deployments greenland deterrent amid us threats trump guardian notes joint nato emphasis arctic security,en,negative
@Victoria00025 There's no need for this whole madness. The US shouldn t be held hostage by Trump s ego masquerading as national interest. https://t.co/v0vS4nK3HA,need whole madness us held hostage trump ego masquerading national interest,en,positive
Spoken like a true rapist. Trump says US will do something on Greenland 'whether they like it or not' https://t.co/1hl2A4aRxK,spoken like true rapist trump says us something greenland whether like,en,positive
@SenFettermanPA Anything to say about the ICE murder in MN? How about trump wanting to attack/buy/take Greenland? Don't we have to run Venezuela now too? How about the brutal trump Gestapo going after Americans while trump/gop lie about it? You suck,anything say ice murder mn trump wanting attack buy take greenland run venezuela brutal trump gestapo going americans trump gop lie suck,en,negative
️Northern European officials have dismissed Trump's claims of a Russian threat around Greenland saying it is wrong to believe that Chinese and Russian submarines are roaming the waters around Greenland - Financial Times https://t.co/SEr1Qw1pTs,northern european officials dismissed trump claims russian threat around greenland saying wrong believe chinese russian submarines roaming waters around greenland financial times,en,negative
@OJoelsen Hopefully Trumps stragegy. Short sharp and focused on the financial angle. Trump s Art of the Deal for Greenland is simple: He wants the military base but he refuses to sign the check. He s threatening to seize Greenland just to scare Denmark into acting as his personal,hopefully trumps stragegy short sharp focused financial angle trump art deal greenland simple wants military base refuses sign check threatening seize greenland scare denmark acting personal,en,negative
@techiwithhelmet @MumbaichaDon Based on recent reports from sources like Reuters NYT and Bloomberg (verified via pages) Trump has discussed options to acquire Greenland including military plans citing strategic interests like minerals and Arctic security. European nations (UK Germany France) are,based recent reports sources like reuters nyt bloomberg verified via pages trump discussed options acquire greenland including military plans citing strategic interests like minerals arctic security european nations uk germany france,en,positive
@punished_kyle70 @cturnbull1968 Trump isn't threatening Greenland and Trump gets indictments against child sex traffickers like Epstien. It was the Biden/Harris administration who stopped Trump's task force on child sex trafficking and lost over 300 000 immigrant children many to child sex trafficking.,trump threatening greenland trump gets indictments child sex traffickers like epstien biden harris administration stopped trump task force child sex trafficking lost immigrant children many child sex trafficking,en,negative
https://t.co/19Exr4IAnq If Trump wants to take Greenland it's ripe for the taking. He can pay Denmark later for the Arctic territory that has strategic value to the U.S. Trump doesn't want Putin or Xi Jinping to get their hands on Greenland.,trump wants take greenland ripe taking pay denmark later arctic territory strategic value u trump want putin xi jinping get hands greenland,en,positive
@krill31407 @PitiTheron @pookiepolls The ICC warrant for Putin (issued 2023 still active per recent reports) is for alleged war crimes in Ukraine like child deportations. For Trump any warrant would require evidence of ICC-jurisdictional crimes (e.g. aggression) in a hypothetical Greenland scenario. US isn't an,icc warrant putin issued still active per recent reports alleged war crimes ukraine like child deportations trump warrant would require evidence icc jurisdictional crimes e g aggression hypothetical greenland scenario us,en,negative
@Rina_Rohkea @_MAGA_NEWS_ Trump finally got Europe to defend Greenland even if for the wrong reasons. Masterclass. https://t.co/tjmJ5PfPtV,trump finally got europe defend greenland even wrong reasons masterclass,en,negative
@tizkeru @ArmstrongEcon @NATO That is what I said just now Ukraine moving away means It is joining NATO. if my enemy meddles with my neighbor then it will be a threat to me. The same reason Trump gave while justifying his intentions regarding Greenland.,said ukraine moving away means joining nato enemy meddles neighbor threat reason trump gave justifying intentions regarding greenland,en,negative
As much as I disagree with the Trump Admin's current threats to Greenland US military leadership carrying out such an assault would be carrying out the Commander-in-Chief's legal (if seemingly misjudged) orders.,much disagree trump admin current threats greenland us military leadership carrying assault would carrying commander chief legal seemingly misjudged orders,en,negative
@vonderleyen Donald Trump ordered the same Delta force that arrested Maduro to deal with a plan to conquer Greenland I hope you already know that..,donald trump ordered delta force arrested maduro deal plan conquer greenland hope already know,en,negative
Donald Trump Supporters Devise Wild Plan for Barron to Marry Danish Princess Isabella So America Can Secure Greenland as a 'Dowry Payment' https://t.co/IHqkmDzgCs,donald trump supporters devise wild plan barron marry danish princess isabella america secure greenland dowry payment,en,positive
@PeterSchiff You don t really believe Trump s going to invade here? Trump is using TDS here. NATO is not going away. He s making NATO &amp; euros pay more for Greenland defense. No one cared about Greenland until Trump started to talk. BTW all this talk is good for Gold. https://t.co/a9uQSizu7I,really believe trump going invade trump using tds nato going away making nato amp euros pay greenland defense one cared greenland trump started talk btw talk good gold,en,positive
@DOGEai_tx @EdKrassen It has rare earth that is why trump wants Greenland and Canada .every place this admin has mentioned has some sort of natural resource .this is about theft,rare earth trump wants greenland canada every place admin mentioned sort natural resource theft,en,positive
@Lumpi85647482 @YourAnonCentral That's exactly the point Trump has been making. Greenland is an easy target. You're almost getting it!,exactly point trump making greenland easy target almost getting,en,positive
@Mandy_cress @ChaosAgent_42 You can reopen the bases that you had. No need to take Greenland. It is only a Trump vanity project and will lead to a cancellation of the midterms.,reopen bases need take greenland trump vanity project lead cancellation midterms,en,negative
The Trump admin are lying about why they want Greenland. Greenland is protected by NATO. It s doing fine. The only country threatening Greenland is 🇺🇸.,trump admin lying want greenland greenland protected nato fine country threatening greenland,en,negative
When Trump threatens #Greenland. He threatens all the countries in alliance with @NATO Severing decades of strong alliances. Think about that! All House of Representatives Congress and Heads of US Military need to be against this action. ‼️ https://t.co/GlcAfBudly,trump threatens threatens countries alliance severing decades strong alliances think house representatives congress heads us military need action,en,negative
@JulianRoepcke 3-2) . . the #Trump argument must be quickly covered via #NATO and several/some participating NATO countries which we understand is being worked on #Greenland #GreenlandIsNotForSale #Denmark 4/,argument must quickly covered via several participating nato countries understand worked,en,negative
The Theory That Gives Trump a Blank Check For Aggression: The true meaning of flexible realism abroad &amp; at home (NYT) https://t.co/DkRlYDNNoT,theory gives trump blank check aggression true meaning flexible realism abroad amp home nyt,en,positive
@shanaka86 Looking back at events of the WW2 it was always Waffen-SS that got the job done. To make Pres Trump happy ICE alone can take over Greenland without a shot fired and deport all those to Copenhagen who refuse to pay US taxes or buy products and supplies directly from the US. https://t.co/D6wIcClF1n,looking back events ww always waffen ss got job done make pres trump happy ice alone take greenland without shot fired deport copenhagen refuse pay us taxes buy products supplies directly us,en,positive
Pepe Escobar: Trump Greenland NATO Collapse &amp; Global Power Shock https://t.co/2Twhr6BaYp via @YouTube https://t.co/2Twhr6BaYp,pepe escobar trump greenland nato collapse amp global power shock via,en,negative
@JulianRoepcke Greenland is being eye balled from several directions TRUMP is the best choice now and for the future. TRUMP 2028,greenland eye balled several directions trump best choice future trump,en,positive
UK and Germany plotting European mission to Greenland Bloomberg To show Trump they take the Arctic seriously Are the broke Euros heading for a clash with their master? https://t.co/WmoPR5ryop,uk germany plotting european mission greenland bloomberg show trump take arctic seriously broke euros heading clash master,en,negative
@RepMarkAlford Wake up! The world would be much safer if Trump would be put on a leash by congress. After turning Government agents against the people taking Venezuela and now speaking of taking Greenland look yourself the USA is not the more imminent threat and CONGRESS has been complicit,wake world would much safer trump would put leash congress turning government agents people taking venezuela speaking taking greenland look usa imminent threat congress complicit,en,negative
@AnimatorBendy Some of us strongly suspected that this would be the trade off for Venezuela Cuba and maybe even Greenland and Canada. I'll take it. You have to also realize that Chinese communism is about to fall. Trump KNOWS that. He is WAY ahead. Don't be afraid my little cupcakes!,us strongly suspected would trade venezuela cuba maybe even greenland canada take also realize chinese communism fall trump knows way ahead afraid little cupcakes,en,positive
@_MAGA_NEWS_ Trump finally got Europe to defend Greenland even if for the wrong reasons. Masterclass. https://t.co/5AIfc7wtaN,trump finally got europe defend greenland even wrong reasons masterclass,en,negative
It appears as though Trump is now eyeing Greenland after his brilliant success in Venezuela says Gwynne Dyer https://t.co/QOZZVL0Ji9,appears though trump eyeing greenland brilliant success venezuela says gwynne dyer,en,positive
Neither the armed invasion of Venezuela nor the hysterical rhetoric about Greenland nor Donald Trump s other public statements shock me as much as this: Journalist Jamal #Khashoggi was lured into the Saudi Arabian consulate in Istanbul where he was killed and his body was https://t.co/JiLZdRHo5Q,neither armed invasion venezuela hysterical rhetoric greenland donald trump public statements shock much journalist jamal lured saudi arabian consulate istanbul killed body,en,negative
I love that theyre countering Trump by doing exactly what he wanted them to do the entire time Its also funny watching them get more serious about Greenland than they ever have for Ukraine. Reddit level politics,love theyre countering trump exactly wanted entire time also funny watching get serious greenland ever ukraine reddit level politics,en,positive
